RANK,RARITY SCORE,Model
1,2522.78,Model Z
2,1669.94,Model Z
3,1604.22,Model Z
4,1601.3,Model Z
5,1448.3,Model Z
6,1382.8,Model Z
7,1375.86,Model Z
8,1351.81,Model Z
9,1292.86,Model Z
10,1289.13,Model Z
11,1281.5,Model Z
12,980.71,Model W
13,621.48,Model W
14,599.5,Model W
15,525.65,Model W
16,476.48,Model W
17,466.2,Model W
18,388.33,Model W
19,383.36,Model W
20,372.71,Model W
21,370.07,Model W
22,368.33,Model W
23,364.88,Model W
24,361.13,Model W
25,359.08,Model W
26,358.24,Model W
27,358.08,Model W
28,357.77,Model W
29,356.27,Model O
30,353.97,Model W
31,353.74,Model W
32,350.95,Model W
33,350.69,Model W
34,341.3,Model W
35,340.49,Model W
36,340.46,Model W
37,339.92,Model W
38,339.37,Model W
39,339.3,Model W
40,338.05,Model W
41,336.88,Model W
42,335.86,Model W
43,334.37,Model W
44,334.25,Model W
45,333.13,Model W
46,330.33,Model W
47,328.3,Model W
48,328.18,Model W
49,328.16,Model W
50,328.13,Model W
51,321.17,Model W
52,319.21,Model W
53,318.09,Model W
54,316.28,Model O
55,312.83,Model O
56,301.19,Model W
57,295.21,Model O
58,294.74,Model W
59,293.48,Model W
60,288.6,Model W
61,288.46,Model W
62,288.24,Model W
63,285.88,Model W
64,284.71,Model W
65,282.34,Model W
66,282.12,Model W
67,280.92,Model W
68,279.72,Model W
69,279.51,Model O
70,278.61,Model W
71,277.97,Model W
72,277.52,Model W
73,268.75,Model O
74,259.76,Model O
75,245.45,Model O
76,232.56,Model E
77,227.21,Model O
78,225.45,Model O
79,224.83,Model O
80,222.2,Model O
81,222.05,Model O
82,221.66,Model O
83,220.1,Model O
84,218.68,Model O
85,217.21,Model O
86,208.76,Model O
87,206.57,Model O
88,204.51,Model O
89,204.13,Model O
90,204.09,Model O
91,203.54,Model M
92,203.52,Model O
93,203.44,Model O
94,202.9,Model O
95,200.6,Model E
96,198.06,Model O
97,196.06,Model O
98,195.12,Model O
99,194.99,Model O
100,192.03,Model E
101,192,Model O
102,191.7,Model O
103,190.55,Model O
104,189.96,Model O
105,189.63,Model O
106,189.41,Model O
107,189.29,Model M
108,188.78,Model O
109,188.3,Model O
110,188.19,Model O
111,188.06,Model O
112,187.16,Model O
113,186.78,Model O
114,186.29,Model O
115,185.82,Model O
116,185.17,Model O
117,185.14,Model O
118,184.77,Model O
119,183.68,Model O
120,183.56,Model O
121,183.56,Model O
122,182.88,Model O
123,182.45,Model O
124,182.27,Model O
125,181.88,Model O
126,181.83,Model O
127,181.83,Model O
128,181.49,Model M
129,181.12,Model O
130,180.64,Model O
131,180.47,Model O
132,180.16,Model O
133,179.8,Model E
134,179.42,Model O
135,179.25,Model O
136,179.07,Model E
137,179.04,Model O
138,178.61,Model O
139,176.86,Model O
140,176.43,Model O
141,176.33,Model O
142,176.33,Model O
143,176.3,Model O
144,176.11,Model O
145,175.6,Model O
146,175.58,Model M
147,175.35,Model O
148,175.25,Model O
149,175.13,Model O
150,175.11,Model O
151,174.85,Model E
152,174.63,Model E
153,174.48,Model O
154,174.3,Model O
155,173.91,Model O
156,173.68,Model O
157,173.29,Model O
158,172.5,Model O
159,172.04,Model O
160,171.66,Model E
161,171.66,Model O
162,171.24,Model O
163,171.07,Model O
164,170.83,Model O
165,170.53,Model O
166,170.44,Model O
167,170.41,Model M
168,170.3,Model E
169,170.26,Model O
170,170.03,Model O
171,169.53,Model O
172,169.24,Model O
173,169.2,Model E
174,169.15,Model O
175,169.06,Model O
176,168.78,Model O
177,168.61,Model O
178,168.37,Model O
179,167.71,Model O
180,167.12,Model O
181,166.82,Model E
182,166.7,Model E
183,166.64,Model O
184,166.57,Model O
185,166.26,Model O
186,166.14,Model E
187,165.86,Model M
188,165.48,Model E
189,165.42,Model M
190,164.72,Model M
191,164.15,Model E
192,164.04,Model E
193,163.56,Model E
194,161.68,Model E
195,161.23,Model E
196,160.72,Model E
197,160.26,Model E
198,159.97,Model E
199,159.14,Model E
200,159.12,Model E
201,159.01,Model M
202,158.98,Model E
203,158.96,Model E
204,158.4,Model E
205,158.18,Model E
206,158.16,Model E
207,157.61,Model E
208,157.06,Model E
209,157.05,Model E
210,156.76,Model E
211,156.74,Model E
212,156.7,Model E
213,156.58,Model E
214,156.58,Model E
215,156.47,Model E
216,155.95,Model E
217,155.7,Model E
218,155.62,Model E
219,155.6,Model E
220,155.46,Model E
221,155.11,Model E
222,154.83,Model E
223,154.53,Model E
224,154.25,Model E
225,153.25,Model E
226,153.06,Model E
227,152.95,Model E
228,152.74,Model E
229,152.63,Model E
230,152.5,Model M
231,152.5,Model M
232,152.26,Model E
233,152.2,Model E
234,152.04,Model E
235,151.58,Model M
236,151.1,Model E
237,150.99,Model E
238,150.92,Model E
239,150.82,Model E
240,150.51,Model M
241,150.5,Model E
242,150.17,Model E
243,150.13,Model E
244,150.13,Model E
245,149.97,Model E
246,149.97,Model E
247,149.68,Model E
248,149.64,Model M
249,149.49,Model M
250,149.41,Model E
251,148.78,Model E
252,148.76,Model E
253,148.68,Model E
254,148.59,Model E
255,148.53,Model E
256,148.41,Model E
257,148.31,Model M
258,148.25,Model M
259,148.14,Model M
260,148.08,Model E
261,147.99,Model E
262,147.96,Model E
263,147.95,Model E
264,147.92,Model E
265,147.88,Model E
266,147.85,Model M
267,147.85,Model M
268,147.38,Model E
269,146.98,Model M
270,146.98,Model M
271,146.76,Model M
272,146.72,Model E
273,146.65,Model E
274,146.45,Model M
275,146.19,Model E
276,146.14,Model E
277,146.02,Model M
278,146.02,Model M
279,145.97,Model M
280,145.89,Model E
281,145.62,Model M
282,145.51,Model M
283,145.5,Model E
284,145.26,Model M
285,145.08,Model E
286,145.05,Model M
287,144.98,Model M
288,144.79,Model E
289,144.67,Model E
290,144.35,Model E
291,144.04,Model E
292,143.81,Model M
293,143.78,Model E
294,143.31,Model M
295,143.15,Model E
296,143.11,Model E
297,142.97,Model E
298,142.93,Model E
299,142.92,Model E
300,142.88,Model M
301,142.79,Model E
302,142.68,Model E
303,142.57,Model E
304,142.54,Model E
305,142.44,Model E
306,142.41,Model E
307,142.32,Model E
308,142.31,Model E
309,142.26,Model M
310,142.15,Model M
311,141.95,Model M
312,141.89,Model E
313,141.84,Model M
314,141.82,Model M
315,141.8,Model E
316,141.64,Model M
317,141.58,Model E
318,141.43,Model M
319,141.11,Model M
320,140.94,Model E
321,140.77,Model M
322,140.65,Model M
323,140.59,Model M
324,140.58,Model M
325,140.5,Model M
326,140.33,Model M
327,140.17,Model M
328,140.15,Model M
329,140.15,Model E
330,140.13,Model M
331,140.1,Model M
332,139.89,Model E
333,139.78,Model E
334,139.64,Model M
335,139.63,Model M
336,139.58,Model E
337,139.43,Model E
338,139.41,Model E
339,139.29,Model E
340,139.15,Model M
341,139.06,Model E
342,139.02,Model M
343,138.62,Model E
344,138.49,Model M
345,138.26,Model E
346,137.92,Model M
347,137.75,Model M
348,137.53,Model M
349,137.32,Model E
350,137.25,Model M
351,137.19,Model E
352,137.03,Model E
353,136.83,Model M
354,136.56,Model M
355,136.37,Model E
356,136.33,Model E
357,136.33,Model E
358,136.32,Model E
359,136.17,Model M
360,136.11,Model M
361,136,Model E
362,135.88,Model M
363,135.78,Model E
364,135.36,Model M
365,135.21,Model M
366,135.21,Model M
367,135.03,Model M
368,134.97,Model M
369,134.83,Model E
370,134.65,Model M
371,134.32,Model M
372,134.29,Model M
373,134.28,Model M
374,134.2,Model M
375,134.08,Model M
376,134.01,Model M
377,133.89,Model M
378,133.88,Model M
379,133.83,Model M
380,133.75,Model E
381,133.71,Model M
382,133.7,Model M
383,133.61,Model M
384,133.56,Model E
385,133.52,Model M
386,133.48,Model M
387,132.81,Model E
388,132.73,Model E
389,132.66,Model M
390,132.65,Model M
391,132.59,Model M
392,132.55,Model E
393,132.51,Model M
394,132.35,Model M
395,132.34,Model E
396,132.32,Model E
397,132.29,Model E
398,131.93,Model M
399,131.83,Model E
400,131.71,Model M
401,131.64,Model E
402,131.62,Model M
403,131.58,Model M
404,131.5,Model M
405,131.38,Model M
406,131.37,Model M
407,131.17,Model M
408,131.14,Model M
409,131.08,Model M
410,131.04,Model E
411,131.03,Model M
412,130.77,Model M
413,130.77,Model E
414,130.72,Model M
415,130.68,Model M
416,130.34,Model M
417,130.19,Model M
418,130.06,Model M
419,130.02,Model M
420,129.95,Model M
421,129.66,Model M
422,129.32,Model M
423,129.19,Model M
424,129.06,Model E
425,128.96,Model M
426,128.72,Model M
427,128.59,Model M
428,128.49,Model M
429,128.34,Model M
430,128.02,Model M
431,128.01,Model M
432,127.85,Model E
433,127.69,Model E
434,127.66,Model E
435,127.37,Model M
436,127.1,Model M
437,126.92,Model M
438,126.86,Model M
439,126.77,Model M
440,126.7,Model M
441,126.69,Model M
442,126.35,Model M
443,126.24,Model E
444,126.06,Model M
445,125.99,Model M
446,125.92,Model M
447,125.88,Model M
448,125.74,Model M
449,125.65,Model M
450,125.62,Model M
451,125.29,Model M
452,125.24,Model M
453,124.87,Model M
454,124.64,Model M
455,124.61,Model M
456,124.35,Model M
457,123.99,Model M
458,123.81,Model M
459,123.16,Model M
460,123.14,Model M
461,123,Model M
462,122.08,Model M
463,121.8,Model M
464,121.59,Model M
465,120.98,Model M
466,120.77,Model M
467,120.69,Model M
468,120.23,Model M
469,120.06,Model M
470,120.04,Model M
471,119.97,Model M
472,119.89,Model M
473,119.42,Model M
474,119.35,Model M
475,119.35,Model M
476,119.32,Model M
477,119.3,Model M
478,119.21,Model M
479,118.98,Model M
480,118.61,Model M
481,118.12,Model M
482,117.91,Model M
483,117.68,Model M
484,117.31,Model M
485,117.3,Model M
486,116.94,Model M
