RANK,RARITY SCORE,Model
318,59.75,Model E
319,59.7,Model M
320,59.69,Model M
321,59.68,Model O
322,59.56,Model O
323,59.56,Model O
324,59.35,Model M
325,59.33,Model E
326,59.06,Model M
327,59.04,Model E
328,58.99,Model M
329,58.92,Model M
330,58.92,Model E
331,58.88,Model M
332,58.88,Model O
333,58.74,Model M
334,58.65,Model M
335,58.62,Model M
336,58.6,Model E
337,58.59,Model W
338,58.45,Model O
339,58.37,Model W
340,58.29,Model E
341,58.29,Model M
342,58.27,Model O
343,58.24,Model M
344,58.03,Model E
345,57.88,Model O
346,57.87,Model M
347,57.83,Model O
348,57.83,Model O
349,57.64,Model M
350,57.61,Model M
351,57.4,Model E
352,57.36,Model E
353,57.35,Model M
354,57.22,Model E
355,57.18,Model E
356,57.17,Model E
357,57.17,Model W
358,57.12,Model O
359,57.04,Model E
360,56.99,Model M
361,56.93,Model E
362,56.82,Model E
363,56.81,Model M
364,56.79,Model E
365,56.69,Model E
366,56.66,Model E
367,56.64,Model O
368,56.57,Model E
369,56.56,Model E
370,56.47,Model O
371,56.16,Model O
372,56.16,Model M
373,56.14,Model M
374,56.14,Model E
375,56.05,Model E
376,56,Model M
377,55.97,Model W
378,55.83,Model E
379,55.42,Model O
380,55.25,Model O
381,55.19,Model E
382,55.08,Model M
383,55.04,Model O
384,54.86,Model W
385,54.8,Model M
386,54.61,Model O
387,54.59,Model M
388,54.4,Model E
389,54.22,Model W
390,54.14,Model E
391,54.03,Model E
392,53.98,Model M
393,53.83,Model E
394,53.77,Model M
395,53.77,Model W
396,53.69,Model M
397,53.68,Model E
398,53.66,Model E
399,53.54,Model E
400,53.31,Model E
401,53.23,Model M
402,53.06,Model M
403,53.04,Model M
404,52.97,Model M
405,52.89,Model M
406,52.87,Model E
407,52.86,Model O
408,52.51,Model E
409,52.43,Model O
410,52.42,Model M
411,52.35,Model M
412,52.35,Model M
413,52.33,Model O
414,52.33,Model O
415,52.32,Model M
416,52.3,Model M
417,52.3,Model O
418,52.21,Model M
419,52.11,Model O
420,51.98,Model M
421,51.61,Model M
422,51.6,Model O
423,51.57,Model E
424,51.44,Model E
425,51.35,Model O
426,51.28,Model E
427,51.25,Model O
428,51.13,Model O
429,51.12,Model M
430,51.11,Model O
431,50.91,Model M
432,50.68,Model M
433,50.62,Model E
434,50.58,Model E
435,50.58,Model E
436,50.57,Model E
437,50.48,Model O
438,50.31,Model M
439,50.3,Model M
440,50.3,Model O
441,50.25,Model E
442,50.03,Model E
443,49.94,Model M
444,49.91,Model O
445,49.68,Model O
446,49.61,Model M
447,49.42,Model M
448,49.35,Model M
449,49.29,Model O
450,49.08,Model E
451,48.99,Model M
452,48.5,Model O
453,48.29,Model M
454,48.04,Model O
455,48,Model E
456,47.81,Model E
457,47.71,Model M
458,47.66,Model O
459,47.24,Model O
460,47.07,Model O
461,47.06,Model E
462,46.98,Model E
463,46.88,Model M
464,46.83,Model O
465,46.8,Model E
466,46.59,Model E
467,46.57,Model E
468,46.54,Model E
469,46.53,Model O
470,46.5,Model M
471,46.44,Model O
472,46.42,Model M
473,46.26,Model O
474,46.08,Model E
475,46.03,Model O
476,45.89,Model E
477,45.53,Model O
478,45.31,Model M
479,45.29,Model E
480,45.24,Model O
481,45.15,Model O
482,45.06,Model O
483,45.02,Model E
484,44.78,Model O
485,44.61,Model O
486,44.44,Model M
487,44.37,Model O
488,43.71,Model O
489,43.47,Model M
490,43.31,Model E
491,43.12,Model O
492,42.64,Model O
493,42.57,Model O
494,42.26,Model O
495,42.1,Model E
496,41.94,Model E
497,41.91,Model E
498,41.74,Model M
499,40.58,Model M
500,40.49,Model E
501,39.83,Model M
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
