RANK,RARITY SCORE,Model
146,297.68,Model O
147,297.29,Model O
148,296.5,Model O
149,296.04,Model O
150,295.66,Model O
151,295.24,Model O
152,295.07,Model O
153,294.83,Model O
154,294.53,Model O
155,294.44,Model O
156,294.26,Model O
157,294.03,Model O
158,293.53,Model O
159,293.24,Model O
160,293.15,Model O
161,293.06,Model O
162,292.78,Model O
163,292.61,Model O
164,292.37,Model O
165,291.71,Model O
166,291.12,Model O
167,290.64,Model O
168,290.57,Model O
169,290.26,Model O
170,286.35,Model E
171,277.78,Model E
172,270.54,Model M
173,265.55,Model E
174,264.82,Model E
175,260.6,Model E
176,260.38,Model E
177,257.41,Model E
178,256.29,Model M
179,256.05,Model E
180,254.95,Model E
181,252.57,Model E
182,252.45,Model E
183,251.89,Model E
184,251.23,Model E
185,249.9,Model E
186,249.79,Model E
187,249.31,Model E
188,248.49,Model M
189,247.43,Model E
190,246.98,Model E
191,246.47,Model E
192,246.01,Model E
193,245.72,Model E
194,244.89,Model E
195,244.87,Model E
196,244.73,Model E
197,244.71,Model E
198,244.15,Model E
199,243.93,Model E
200,243.91,Model E
201,243.36,Model E
202,242.81,Model E
203,242.8,Model E
204,242.58,Model M
205,242.51,Model E
206,242.49,Model E
207,242.45,Model E
208,242.33,Model E
209,242.33,Model E
210,242.22,Model E
211,241.7,Model E
212,241.45,Model E
213,241.37,Model E
214,241.35,Model E
215,241.21,Model E
216,240.86,Model E
217,240.58,Model E
218,240.28,Model E
219,240,Model E
220,239,Model E
221,238.81,Model E
222,238.7,Model E
223,238.49,Model E
224,238.38,Model E
225,238.01,Model E
226,237.95,Model E
227,237.79,Model E
228,237.41,Model M
229,236.85,Model E
230,236.74,Model E
231,236.67,Model E
232,236.57,Model E
233,236.25,Model E
234,235.92,Model E
235,235.88,Model E
236,235.88,Model E
237,235.72,Model E
238,235.72,Model E
239,235.43,Model E
240,235.16,Model E
241,234.53,Model E
242,234.51,Model E
243,234.43,Model E
244,234.34,Model E
245,234.28,Model E
246,234.16,Model E
247,233.83,Model E
248,233.74,Model E
249,233.71,Model E
250,233.7,Model E
251,233.67,Model E
252,233.63,Model E
253,233.13,Model E
254,232.86,Model M
255,232.47,Model E
256,232.42,Model M
257,232.4,Model E
258,231.94,Model E
259,231.89,Model E
260,231.72,Model M
261,231.64,Model E
262,231.25,Model E
263,230.83,Model E
264,230.54,Model E
265,230.42,Model E
266,230.1,Model E
267,229.79,Model E
268,229.53,Model E
269,228.9,Model E
270,228.86,Model E
271,228.72,Model E
272,228.68,Model E
273,228.67,Model E
274,228.54,Model E
275,228.43,Model E
276,228.32,Model E
277,228.29,Model E
278,228.19,Model E
279,228.16,Model E
280,228.07,Model E
281,228.06,Model E
282,227.64,Model E
283,227.55,Model E
284,227.33,Model E
285,226.69,Model E
286,226.01,Model M
287,225.9,Model E
288,225.64,Model E
289,225.53,Model E
290,225.33,Model E
291,225.18,Model E
292,225.16,Model E
293,225.04,Model E
294,224.81,Model E
295,224.37,Model E
296,224.01,Model E
297,223.07,Model E
298,222.94,Model E
299,222.78,Model E
300,222.12,Model E
301,222.08,Model E
302,222.08,Model E
303,222.07,Model E
304,221.75,Model E
305,221.53,Model E
306,220.58,Model E
307,219.5,Model M
308,219.5,Model M
309,219.5,Model E
310,219.31,Model E
311,218.58,Model M
312,218.56,Model E
313,218.48,Model E
314,218.3,Model E
315,218.09,Model E
316,218.07,Model E
317,218.04,Model E
318,217.58,Model E
319,217.51,Model M
320,217.39,Model E
321,216.79,Model E
322,216.64,Model M
323,216.52,Model E
324,216.49,Model M
325,215.31,Model M
326,215.25,Model M
327,215.14,Model M
328,214.85,Model M
329,214.85,Model M
330,214.81,Model E
331,213.98,Model M
332,213.98,Model M
333,213.76,Model M
334,213.6,Model E
335,213.45,Model M
336,213.44,Model E
337,213.41,Model E
338,213.02,Model M
339,213.02,Model M
340,212.97,Model M
341,212.62,Model M
342,212.51,Model M
343,212.26,Model M
344,212.05,Model M
345,211.99,Model E
346,211.98,Model M
347,210.81,Model M
348,210.31,Model M
349,209.88,Model M
350,209.26,Model M
351,209.15,Model M
352,208.95,Model M
353,208.84,Model M
354,208.82,Model M
355,208.64,Model M
356,208.43,Model M
357,208.11,Model M
358,207.77,Model M
359,207.65,Model M
360,207.59,Model M
361,207.58,Model M
362,207.5,Model M
363,207.33,Model M
364,207.17,Model M
365,207.15,Model M
366,207.13,Model M
367,207.1,Model M
368,206.64,Model M
369,206.63,Model M
370,206.15,Model M
371,206.02,Model M
372,205.49,Model M
373,204.92,Model M
374,204.75,Model M
375,204.53,Model M
376,204.25,Model M
377,203.83,Model M
378,203.56,Model M
379,203.17,Model M
380,203.11,Model M
381,202.88,Model M
382,202.36,Model M
383,202.21,Model M
384,202.21,Model M
385,202.03,Model M
386,201.97,Model M
387,201.65,Model M
388,201.32,Model M
389,201.29,Model M
390,201.28,Model M
391,201.2,Model M
392,201.08,Model M
393,201.01,Model M
394,200.89,Model M
395,200.88,Model M
396,200.83,Model M
397,200.71,Model M
398,200.7,Model M
399,200.61,Model M
400,200.52,Model M
401,200.48,Model M
402,199.66,Model M
403,199.65,Model M
404,199.59,Model M
405,199.51,Model M
406,199.35,Model M
407,198.93,Model M
408,198.71,Model M
409,198.62,Model M
410,198.58,Model M
411,198.5,Model M
412,198.38,Model M
413,198.37,Model M
414,198.17,Model M
415,198.14,Model M
416,198.08,Model M
417,198.03,Model M
418,197.77,Model M
419,197.72,Model M
420,197.68,Model M
421,197.34,Model M
422,197.19,Model M
423,197.06,Model M
424,197.02,Model M
425,196.95,Model M
426,196.66,Model M
427,196.32,Model M
428,196.19,Model M
429,195.96,Model M
430,195.72,Model M
431,195.59,Model M
432,195.49,Model M
433,195.34,Model M
434,195.02,Model M
435,195.01,Model M
436,194.37,Model M
437,194.1,Model M
438,193.92,Model M
439,193.86,Model M
440,193.77,Model M
441,193.7,Model M
442,193.69,Model M
443,193.35,Model M
444,193.06,Model M
445,192.99,Model M
446,192.92,Model M
447,192.88,Model M
448,192.74,Model M
449,192.65,Model M
450,192.62,Model M
451,192.29,Model M
452,192.24,Model M
453,191.87,Model M
454,191.64,Model M
455,191.61,Model M
456,191.35,Model M
457,190.99,Model M
458,190.81,Model M
459,190.16,Model M
460,190.14,Model M
461,190,Model M
462,189.08,Model M
463,188.8,Model M
464,188.59,Model M
465,187.98,Model M
466,187.77,Model M
467,187.69,Model M
468,187.23,Model M
469,187.06,Model M
470,187.04,Model M
471,186.97,Model M
472,186.89,Model M
473,186.42,Model M
474,186.35,Model M
475,186.35,Model M
476,186.32,Model M
477,186.3,Model M
478,186.21,Model M
479,185.98,Model M
480,185.61,Model M
481,185.12,Model M
482,184.91,Model M
483,184.68,Model M
484,184.31,Model M
485,184.3,Model M
486,183.94,Model M
487,183.61,Model M
488,183.42,Model M
489,183.35,Model M
490,182.99,Model M
491,182.29,Model M
492,181.71,Model M
493,180.88,Model M
494,180.5,Model M
495,180.42,Model M
496,179.31,Model M
497,178.44,Model M
498,177.47,Model M
499,175.74,Model M
500,174.58,Model M
501,173.83,Model M
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
