RANK,RARITY SCORE,Model
1,3661.53,Model Z
2,2808.69,Model Z
3,2742.97,Model Z
4,2740.05,Model Z
5,2587.05,Model Z
6,2521.55,Model Z
7,2514.61,Model Z
8,2490.56,Model Z
9,2431.61,Model Z
10,2427.88,Model Z
11,2420.25,Model Z
12,1204.46,Model W
13,845.23,Model W
14,823.25,Model W
15,749.4,Model W
16,700.23,Model W
17,689.95,Model W
18,612.08,Model W
19,607.11,Model W
20,596.46,Model W
21,593.82,Model W
22,592.08,Model W
23,588.63,Model W
24,584.88,Model W
25,582.83,Model W
26,581.99,Model W
27,581.83,Model W
28,581.52,Model W
29,577.72,Model W
30,577.49,Model W
31,574.7,Model W
32,574.44,Model W
33,565.05,Model W
34,564.24,Model W
35,564.21,Model W
36,563.67,Model W
37,563.12,Model W
38,563.05,Model W
39,561.8,Model W
40,560.63,Model W
41,559.61,Model W
42,558.12,Model W
43,558,Model W
44,556.88,Model W
45,554.08,Model W
46,552.05,Model W
47,551.93,Model W
48,551.91,Model W
49,551.88,Model W
50,544.92,Model W
51,542.96,Model W
52,541.84,Model W
53,524.94,Model W
54,518.49,Model W
55,517.23,Model W
56,512.35,Model W
57,512.21,Model W
58,511.99,Model W
59,509.63,Model W
60,508.46,Model W
61,506.09,Model W
62,505.87,Model W
63,504.67,Model W
64,503.47,Model W
65,502.36,Model W
66,501.72,Model W
67,501.27,Model W
68,480.27,Model O
69,440.28,Model O
70,436.83,Model O
71,419.21,Model O
72,403.51,Model O
73,392.75,Model O
74,383.76,Model O
75,369.45,Model O
76,351.21,Model O
77,349.45,Model O
78,348.83,Model O
79,346.2,Model O
80,346.05,Model O
81,345.66,Model O
82,344.1,Model O
83,342.68,Model O
84,341.21,Model O
85,332.76,Model O
86,330.57,Model O
87,328.51,Model O
88,328.13,Model O
89,328.09,Model O
90,327.52,Model O
91,327.44,Model O
92,326.9,Model O
93,322.06,Model O
94,320.06,Model O
95,319.12,Model O
96,318.99,Model O
97,318.31,Model E
98,316,Model O
99,315.7,Model O
100,314.55,Model O
101,313.96,Model O
102,313.63,Model O
103,313.41,Model O
104,312.78,Model O
105,312.3,Model O
106,312.19,Model O
107,312.06,Model O
108,311.16,Model O
109,310.78,Model O
110,310.29,Model O
111,309.82,Model O
112,309.17,Model O
113,309.14,Model O
114,308.77,Model O
115,307.68,Model O
116,307.56,Model O
117,307.56,Model O
118,306.88,Model O
119,306.45,Model O
120,306.27,Model O
121,305.88,Model O
122,305.83,Model O
123,305.83,Model O
124,305.12,Model O
125,304.64,Model O
126,304.47,Model O
127,304.16,Model O
128,303.42,Model O
129,303.25,Model O
130,303.04,Model O
131,302.61,Model O
132,300.86,Model O
133,300.43,Model O
134,300.33,Model O
135,300.33,Model O
136,300.3,Model O
137,300.11,Model O
138,299.6,Model O
139,299.35,Model O
140,299.25,Model O
141,299.13,Model O
142,299.11,Model O
143,298.48,Model O
144,298.3,Model O
145,297.91,Model O
