RANK,RARITY SCORE,Model
1,1566.214264,Model Z
2,792.7432994,Model W
3,713.3752382,Model Z
4,647.6507982,Model Z
5,644.7329347,Model Z
6,491.7292871,Model Z
7,433.5117026,Model W
8,426.2335212,Model Z
9,419.2905996,Model Z
10,411.5363084,Model W
11,395.2397141,Model Z
12,337.6810725,Model W
13,336.2910242,Model Z
14,332.5614936,Model Z
15,324.931891,Model Z
16,288.512016,Model W
17,278.239807,Model W
18,252.1090144,Model O
19,212.1213361,Model O
20,208.6749705,Model O
21,200.3698111,Model W
22,195.3931625,Model W
23,191.0486611,Model O
24,184.7429534,Model W
25,182.1015297,Model W
26,180.3659474,Model W
27,176.9115258,Model W
28,175.3521135,Model O
29,173.1698156,Model W
30,171.1156846,Model W
31,170.2738245,Model W
32,170.1117132,Model W
33,169.8076224,Model W
34,166.0019201,Model W
35,165.7785137,Model W
36,164.5932646,Model O
37,162.9866491,Model W
38,162.7227567,Model W
39,160.5401016,Model E
40,155.6026842,Model O
41,153.3318445,Model W
42,152.5245719,Model W
43,152.4941682,Model W
44,151.9582351,Model W
45,151.4060177,Model W
46,151.3384528,Model W
47,150.0807553,Model W
48,148.9142085,Model W
49,147.8912862,Model W
50,147.2574386,Model M
51,146.4099736,Model W
52,146.289308,Model W
53,145.1701244,Model W
54,142.3615817,Model W
55,141.2919785,Model O
56,140.3314305,Model W
57,140.2188553,Model W
58,140.1973173,Model W
59,140.1645902,Model W
60,133.2037516,Model W
61,133.0035432,Model M
62,131.249412,Model W
63,130.1235898,Model W
64,128.5775519,Model E
65,125.2095931,Model M
66,123.0514902,Model O
67,121.2932067,Model O
68,120.6673071,Model O
69,120.0043387,Model E
70,119.3002082,Model M
71,118.0423019,Model O
72,117.8957738,Model O
73,117.5046309,Model O
74,115.9452276,Model O
75,114.5239096,Model O
76,114.1248458,Model M
77,113.2253144,Model W
78,113.0487493,Model O
79,109.5781445,Model M
80,109.1333654,Model M
81,108.4319965,Model M
82,107.7748368,Model E
83,107.044349,Model E
84,106.7749215,Model W
85,105.5194422,Model W
86,104.5973803,Model O
87,102.8221932,Model E
88,102.7296804,Model M
89,102.604965,Model E
90,102.4147978,Model O
91,100.6356394,Model W
92,100.5004085,Model W
93,100.3550395,Model O
94,100.2712327,Model W
95,99.96687711,Model O
96,99.92993678,Model O
97,99.63298866,Model E
98,99.36256874,Model O
99,99.27668895,Model O
100,98.74346112,Model O
101,98.27424911,Model E
102,97.91343903,Model W
103,97.17922729,Model E
104,96.74498236,Model W
105,96.21612859,Model M
106,96.21207596,Model M
107,95.29923364,Model M
