RANK,RARITY SCORE,Model
1,5893.032446,Model Z
2,5040.19342,Model Z
3,4974.46898,Model Z
4,4971.551117,Model Z
5,4818.547469,Model Z
6,4753.051703,Model Z
7,4746.108781,Model Z
8,4722.057896,Model Z
9,4663.109206,Model Z
10,4659.379675,Model Z
11,4651.750073,Model Z
12,1642.654014,Model W
13,1283.422417,Model W
14,1261.447023,Model W
15,1187.591787,Model W
16,1138.42273,Model W
17,1128.150521,Model W
18,1050.280525,Model W
19,1045.303877,Model W
20,1034.653668,Model W
21,1032.012244,Model W
22,1030.276662,Model W
23,1026.82224,Model W
24,1023.08053,Model W
25,1021.026399,Model W
26,1020.184539,Model W
27,1020.022427,Model W
28,1019.718337,Model W
29,1015.912634,Model W
30,1015.689228,Model W
31,1012.897363,Model W
32,1012.633471,Model W
33,1003.242559,Model W
34,1002.435286,Model W
35,1002.404882,Model W
36,1001.868949,Model W
37,1001.316732,Model W
38,1001.249167,Model W
39,999.9914696,Model W
40,998.8249228,Model W
41,997.8020005,Model W
42,996.3206878,Model W
43,996.2000223,Model W
44,995.0808387,Model W
45,992.272296,Model W
46,990.2421448,Model W
47,990.1295696,Model W
48,990.1080316,Model W
49,990.0753045,Model W
50,983.1144659,Model W
51,981.1601263,Model W
52,980.0343041,Model W
53,963.1360287,Model W
54,956.6856358,Model W
55,955.4301565,Model W
56,950.5463537,Model W
57,950.4111228,Model W
58,950.181947,Model W
59,947.8241533,Model W
60,946.6556966,Model W
61,944.2905627,Model W
62,944.0673029,Model W
63,942.8655245,Model W
64,941.6689817,Model W
65,940.5543814,Model W
66,939.9178289,Model W
67,939.4636857,Model W
68,723.3466381,Model O
69,683.3589599,Model O
70,679.9125942,Model O
71,662.2862848,Model O
72,646.5897372,Model O
73,635.8308884,Model O
74,626.840308,Model O
75,612.5296023,Model O
76,594.289114,Model O
77,592.5308304,Model O
78,591.9049308,Model O
79,589.2799257,Model O
80,589.1333975,Model O
81,588.7422547,Model O
82,587.1828514,Model O
83,585.7615334,Model O
84,584.2863731,Model O
85,575.8350041,Model O
86,573.6524215,Model O
87,571.5926633,Model O
88,571.2045009,Model O
89,571.1675605,Model O
90,570.6001925,Model O
91,570.5143127,Model O
92,569.9810849,Model O
93,565.139678,Model O
94,563.1437107,Model O
95,562.1955048,Model O
96,562.0669058,Model O
97,559.0766412,Model O
98,558.7801729,Model O
99,557.6326522,Model O
100,557.036668,Model O
101,556.7097937,Model O
102,556.4903791,Model O
103,555.8624333,Model O
104,555.3765238,Model O
105,555.2667804,Model O
106,555.1423921,Model O
107,554.2423134,Model O
108,553.8563471,Model O
109,553.3703022,Model O
110,552.9037913,Model O
111,552.248762,Model O
112,552.2160133,Model O
113,551.8522059,Model O
114,550.761502,Model O
115,550.6398594,Model O
116,550.6369233,Model O
117,549.9543651,Model O
118,549.5277064,Model O
119,549.3488196,Model O
120,548.9575007,Model O
121,548.9101825,Model O
122,548.9101429,Model O
123,548.1954902,Model O
124,547.7218392,Model O
125,547.546274,Model O
126,547.2385381,Model O
127,546.4983698,Model O
128,546.3298494,Model O
129,546.1157401,Model O
130,545.6864783,Model O
131,543.9346194,Model O
132,543.5104381,Model O
133,543.4106958,Model O
134,543.4099539,Model O
135,543.3777352,Model O
136,543.1932914,Model O
137,542.6803944,Model O
138,542.4307357,Model O
139,542.3306055,Model O
140,542.2083469,Model O
141,542.1864003,Model O
142,541.5564614,Model O
143,541.3777264,Model O
144,540.9856584,Model O
145,540.7593382,Model O
146,540.3693218,Model O
147,539.5742869,Model O
148,539.1218621,Model O
149,538.7436701,Model O
150,538.3181505,Model O
151,538.1483561,Model O
152,537.9132516,Model O
153,537.6111729,Model O
154,537.5158741,Model O
155,537.3374847,Model O
156,537.1071677,Model O
157,536.6102509,Model O
158,536.3219442,Model O
159,536.2290356,Model O
160,536.1396264,Model O
161,535.86114,Model O
162,535.6888393,Model O
163,535.4501428,Model O
164,534.7886451,Model O
165,534.2023991,Model O
166,533.7211707,Model O
167,533.6517799,Model O
168,533.3411183,Model O
169,486.5332523,Model E
170,454.5707026,Model E
171,445.9974894,Model E
172,433.7679875,Model E
173,433.0374997,Model E
174,428.8153438,Model E
175,428.5981156,Model E
176,425.6261393,Model E
177,424.2673998,Model E
178,423.172378,Model E
179,420.7899029,Model E
180,420.6682678,Model E
181,420.1051187,Model E
182,419.4450402,Model E
183,418.1167558,Model E
184,418.0115136,Model E
185,417.5304624,Model E
186,415.6528117,Model E
187,415.2001935,Model E
188,414.6862872,Model E
189,414.2261882,Model E
190,413.9386221,Model E
191,413.1126935,Model E
192,413.0904254,Model E
193,412.9461564,Model E
194,412.9334283,Model E
195,412.3717429,Model E
196,412.1477543,Model E
197,412.1309772,Model E
198,411.5808395,Model E
199,411.031003,Model E
200,411.0207082,Model E
201,410.7255541,Model E
202,410.7120955,Model E
203,410.6694962,Model E
204,410.5506837,Model E
205,410.5491626,Model E
206,410.4424846,Model E
207,409.9146928,Model E
208,409.6666096,Model E
209,409.5853931,Model E
210,409.5672761,Model E
211,409.4333788,Model E
212,409.0796928,Model E
213,408.8006504,Model E
214,408.4995197,Model E
215,408.2206745,Model E
216,407.2154684,Model E
217,407.0295119,Model E
218,406.9226345,Model E
219,406.713504,Model E
220,406.5995317,Model E
221,406.2312611,Model E
222,406.16748,Model E
223,406.0081281,Model E
224,405.0672024,Model E
225,404.9548661,Model E
226,404.884722,Model E
227,404.7911402,Model E
228,404.4667046,Model E
229,404.1441357,Model E
230,404.0986236,Model E
231,404.0986236,Model E
232,403.9436109,Model E
233,403.9385122,Model E
234,403.6476144,Model E
235,403.3786968,Model E
236,402.7489713,Model E
237,402.7295439,Model E
238,402.6511674,Model E
239,402.5612107,Model E
240,402.5031611,Model E
241,402.3829568,Model E
242,402.0481176,Model E
243,401.9549073,Model E
244,401.9250949,Model E
245,401.9155265,Model E
246,401.8866661,Model E
247,401.8464597,Model E
248,401.7761552,Model M
249,401.3458244,Model E
250,400.6938089,Model E
251,400.622427,Model E
252,400.1615289,Model E
253,400.114173,Model E
254,399.8637004,Model E
255,399.4655573,Model E
256,399.0456165,Model E
257,398.7562395,Model E
258,398.6414373,Model E
259,398.3207534,Model E
260,398.0137292,Model E
261,397.7498305,Model E
262,397.1207317,Model E
263,397.0789283,Model E
264,396.9438978,Model E
265,396.8999748,Model E
266,396.8905929,Model E
267,396.7628948,Model E
268,396.6477154,Model E
269,396.5343383,Model E
270,396.5077527,Model E
271,396.4114275,Model E
272,396.3791502,Model E
273,396.2892774,Model E
274,396.2746624,Model E
275,395.8552861,Model E
276,395.7672464,Model E
277,395.5527564,Model E
278,394.9063129,Model E
279,394.1142136,Model E
280,393.8558962,Model E
281,393.7455528,Model E
282,393.5467984,Model E
283,393.4009673,Model E
284,393.3804709,Model E
285,393.2566276,Model E
286,393.029023,Model E
287,392.5848443,Model E
288,392.2276521,Model E
289,391.2900931,Model E
290,391.1615306,Model E
291,390.9988832,Model E
292,390.3357867,Model E
293,390.2991678,Model E
294,390.2984509,Model E
295,390.2897428,Model E
296,389.9691076,Model E
297,389.745329,Model E
298,388.7978928,Model E
299,387.7182576,Model E
300,387.5279466,Model E
301,387.5222598,Model M
302,386.7784594,Model E
303,386.6988303,Model E
304,386.5169635,Model E
305,386.3079715,Model E
306,386.292265,Model E
307,386.2624074,Model E
308,385.8013836,Model E
309,385.608601,Model E
310,385.0095138,Model E
311,384.7393316,Model E
312,383.0338351,Model E
313,381.8224075,Model E
314,381.658318,Model E
315,381.6251383,Model E
316,380.2078334,Model E
317,379.7283097,Model M
318,373.8189248,Model M
319,368.6435624,Model M
320,364.096861,Model M
321,363.652082,Model M
322,362.9507131,Model M
323,357.248397,Model M
324,350.7348452,Model M
325,350.7307925,Model M
326,349.8179502,Model M
327,348.7461165,Model M
328,347.8725247,Model M
329,347.7234792,Model M
330,346.5413172,Model M
331,346.4844334,Model M
332,346.3757556,Model M
333,346.0866553,Model M
334,346.0832194,Model M
335,345.2187822,Model M
336,345.2128755,Model M
337,344.990573,Model M
338,344.6822997,Model M
339,344.2564599,Model M
340,344.2506003,Model M
341,344.2081198,Model M
342,343.8524145,Model M
